Tamanho amostral,Nível significância,Crítico
42,0.1,0.978
43,0.1,0.978
44,0.1,0.978
45,0.1,0.978
46,0.1,0.979
47,0.1,0.979
48,0.1,0.98
49,0.1,0.98
50,0.1,0.981
55,0.1,0.982
60,0.1,0.983
65,0.1,0.984
70,0.1,0.985
75,0.1,0.986
80,0.1,0.987
85,0.1,0.987
90,0.1,0.988
95,0.1,0.989
100,0.1,0.989
3,0.25,0.924
4,0.25,0.931
5,0.25,0.935
6,0.25,0.94
7,0.25,0.944
8,0.25,0.948
9,0.25,0.951
10,0.25,0.954
11,0.25,0.957
12,0.25,0.959
13,0.25,0.962
14,0.25,0.964
15,0.25,0.965
16,0.25,0.967
17,0.25,0.968
18,0.25,0.969
19,0.25,0.971
20,0.25,0.972
21,0.25,0.973
22,0.25,0.974
23,0.25,0.975
24,0.25,0.975
25,0.25,0.976
26,0.25,0.977
27,0.25,0.977
28,0.25,0.978
29,0.25,0.979
30,0.25,0.979
31,0.25,0.98
32,0.25,0.98
33,0.25,0.981
34,0.25,0.981
35,0.25,0.982
36,0.25,0.982
37,0.25,0.982
38,0.25,0.983
39,0.25,0.983
40,0.25,0.983
41,0.25,0.984
42,0.25,0.984
43,0.25,0.984
44,0.25,0.984
45,0.25,0.985
46,0.25,0.985
47,0.25,0.985
48,0.25,0.985
49,0.25,0.986
50,0.25,0.986
55,0.25,0.987
60,0.25,0.988
65,0.25,0.989
70,0.25,0.989
75,0.25,0.99
80,0.25,0.991
85,0.25,0.991
90,0.25,0.991
95,0.25,0.992
100,0.25,0.992
3,0.5,0.966
4,0.5,0.958
5,0.5,0.96
6,0.5,0.962
7,0.5,0.965
8,0.5,0.967
9,0.5,0.968
10,0.5,0.97
11,0.5,0.972
12,0.5,0.973
13,0.5,0.975
14,0.5,0.976
15,0.5,0.977
16,0.5,0.978
17,0.5,0.979
18,0.5,0.979
19,0.5,0.98
20,0.5,0.981
21,0.5,0.981
22,0.5,0.982
23,0.5,0.983
24,0.5,0.983
25,0.5,0.984
26,0.5,0.984
27,0.5,0.984
28,0.5,0.985
29,0.5,0.985
30,0.5,0.986
31,0.5,0.986
32,0.5,0.986
33,0.5,0.987
34,0.5,0.987
35,0.5,0.987
36,0.5,0.987
37,0.5,0.988
38,0.5,0.988
39,0.5,0.988
40,0.5,0.988
41,0.5,0.989
42,0.5,0.989
43,0.5,0.989
44,0.5,0.989
45,0.5,0.989
46,0.5,0.99
47,0.5,0.99
48,0.5,0.99
49,0.5,0.99
50,0.5,0.99
55,0.5,0.991
60,0.5,0.991
65,0.5,0.992
70,0.5,0.993
75,0.5,0.993
80,0.5,0.993
85,0.5,0.994
90,0.5,0.994
95,0.5,0.994
100,0.5,0.994
3,0.75,0.991
4,0.75,0.979
5,0.75,0.977
6,0.75,0.977
7,0.75,0.978
8,0.75,0.979
9,0.75,0.98
10,0.75,0.981
11,0.75,0.982
12,0.75,0.982
13,0.75,0.983
14,0.75,0.984
15,0.75,0.984
16,0.75,0.985
17,0.75,0.986
18,0.75,0.986
19,0.75,0.987
20,0.75,0.987
21,0.75,0.987
22,0.75,0.988
23,0.75,0.988
24,0.75,0.988
25,0.75,0.989
26,0.75,0.989
27,0.75,0.989
28,0.75,0.99
29,0.75,0.99
30,0.75,0.99
31,0.75,0.99
32,0.75,0.99
33,0.75,0.991
34,0.75,0.991
35,0.75,0.991
36,0.75,0.991
37,0.75,0.991
38,0.75,0.992
39,0.75,0.992
40,0.75,0.992
41,0.75,0.992
42,0.75,0.992
43,0.75,0.992
44,0.75,0.992
45,0.75,0.993
46,0.75,0.993
47,0.75,0.993
48,0.75,0.993
49,0.75,0.993
50,0.75,0.993
55,0.75,0.994
60,0.75,0.994
65,0.75,0.994
70,0.75,0.995
75,0.75,0.995
80,0.75,0.995
85,0.75,0.995
90,0.75,0.996
95,0.75,0.996
100,0.75,0.996
3,0.9,0.999
4,0.9,0.992
5,0.9,0.988
6,0.9,0.986
7,0.9,0.986
8,0.9,0.986
9,0.9,0.987
10,0.9,0.987
11,0.9,0.988
12,0.9,0.988
13,0.9,0.988
14,0.9,0.989
15,0.9,0.989
16,0.9,0.989
17,0.9,0.99
18,0.9,0.99
19,0.9,0.99
20,0.9,0.991
21,0.9,0.991
22,0.9,0.991
23,0.9,0.991
24,0.9,0.992
25,0.9,0.992
26,0.9,0.992
27,0.9,0.992
28,0.9,0.992
29,0.9,0.992
30,0.9,0.993
31,0.9,0.993
32,0.9,0.993
33,0.9,0.993
34,0.9,0.993
35,0.9,0.993
36,0.9,0.994
37,0.9,0.994
38,0.9,0.994
39,0.9,0.994
40,0.9,0.994
41,0.9,0.994
42,0.9,0.994
43,0.9,0.994
44,0.9,0.994
45,0.9,0.994
46,0.9,0.995
47,0.9,0.995
48,0.9,0.995
49,0.9,0.995
50,0.9,0.995
55,0.9,0.995
60,0.9,0.995
65,0.9,0.996
70,0.9,0.996
75,0.9,0.996
80,0.9,0.996
85,0.9,0.997
90,0.9,0.997
95,0.9,0.997
100,0.9,0.997
3,0.95,1
4,0.95,0.996
5,0.95,0.992
6,0.95,0.99
7,0.95,0.99
8,0.95,0.99
9,0.95,0.99
10,0.95,0.99
11,0.95,0.99
12,0.95,0.99
13,0.95,0.991
14,0.95,0.991
15,0.95,0.991
16,0.95,0.991
17,0.95,0.992
18,0.95,0.992
19,0.95,0.992
20,0.95,0.992
21,0.95,0.993
22,0.95,0.993
23,0.95,0.993
24,0.95,0.993
25,0.95,0.993
26,0.95,0.993
27,0.95,0.994
28,0.95,0.994
29,0.95,0.994
30,0.95,0.994
31,0.95,0.994
32,0.95,0.994
33,0.95,0.994
34,0.95,0.994
35,0.95,0.995
36,0.95,0.995
37,0.95,0.995
38,0.95,0.995
39,0.95,0.995
40,0.95,0.995
41,0.95,0.995
42,0.95,0.995
43,0.95,0.995
44,0.95,0.995
45,0.95,0.995
46,0.95,0.995
47,0.95,0.995
48,0.95,0.996
49,0.95,0.996
50,0.95,0.996
55,0.95,0.996
60,0.95,0.996
65,0.95,0.996
70,0.95,0.997
75,0.95,0.997
80,0.95,0.997
85,0.95,0.997
90,0.95,0.997
95,0.95,0.997
100,0.95,0.998
3,0.975,1
4,0.975,0.998
5,0.975,0.995
6,0.975,0.993
7,0.975,0.992
8,0.975,0.992
9,0.975,0.992
10,0.975,0.992
11,0.975,0.992
12,0.975,0.992
13,0.975,0.993
14,0.975,0.993
15,0.975,0.993
16,0.975,0.993
17,0.975,0.993
18,0.975,0.993
19,0.975,0.993
20,0.975,0.994
21,0.975,0.994
22,0.975,0.994
23,0.975,0.994
24,0.975,0.994
25,0.975,0.994
26,0.975,0.994
27,0.975,0.995
28,0.975,0.995
29,0.975,0.995
30,0.975,0.995
31,0.975,0.995
32,0.975,0.995
33,0.975,0.995
34,0.975,0.995
35,0.975,0.995
36,0.975,0.996
37,0.975,0.996
38,0.975,0.996
39,0.975,0.996
40,0.975,0.996
41,0.975,0.996
42,0.975,0.996
43,0.975,0.996
44,0.975,0.996
45,0.975,0.996
46,0.975,0.996
47,0.975,0.996
48,0.975,0.996
49,0.975,0.996
50,0.975,0.996
55,0.975,0.997
60,0.975,0.997
65,0.975,0.997
70,0.975,0.997
75,0.975,0.997
80,0.975,0.997
85,0.975,0.997
90,0.975,0.998
95,0.975,0.998
100,0.975,0.998
3,0.99,1
4,0.99,0.999
5,0.99,0.997
6,0.99,0.996
7,0.99,0.995
8,0.99,0.995
9,0.99,0.994
10,0.99,0.994
11,0.99,0.994
12,0.99,0.994
13,0.99,0.994
14,0.99,0.994
15,0.99,0.994
16,0.99,0.994
17,0.99,0.994
18,0.99,0.995
19,0.99,0.995
20,0.99,0.995
21,0.99,0.995
22,0.99,0.995
23,0.99,0.995
24,0.99,0.995
25,0.99,0.995
26,0.99,0.995
27,0.99,0.995
28,0.99,0.995
29,0.99,0.995
30,0.99,0.996
31,0.99,0.996
32,0.99,0.996
33,0.99,0.996
34,0.99,0.996
35,0.99,0.996
36,0.99,0.996
37,0.99,0.996
38,0.99,0.996
39,0.99,0.996
40,0.99,0.996
41,0.99,0.996
42,0.99,0.997
43,0.99,0.997
44,0.99,0.997
45,0.99,0.997
46,0.99,0.997
47,0.99,0.997
48,0.99,0.997
49,0.99,0.997
50,0.99,0.997
55,0.99,0.997
60,0.99,0.997
65,0.99,0.997
70,0.99,0.998
75,0.99,0.998
80,0.99,0.998
85,0.99,0.998
90,0.99,0.998
95,0.99,0.998
100,0.99,0.998
3,0.995,1
4,0.995,1
5,0.995,0.998
6,0.995,0.997
7,0.995,0.996
8,0.995,0.996
9,0.995,0.995
10,0.995,0.995
11,0.995,0.995
12,0.995,0.995
13,0.995,0.995
14,0.995,0.995
15,0.995,0.995
16,0.995,0.995
17,0.995,0.995
18,0.995,0.995
19,0.995,0.995
20,0.995,0.995
21,0.995,0.996
22,0.995,0.996
23,0.995,0.996
24,0.995,0.996
25,0.995,0.996
26,0.995,0.996
27,0.995,0.996
28,0.995,0.996
29,0.995,0.996
30,0.995,0.996
31,0.995,0.996
32,0.995,0.996
33,0.995,0.996
34,0.995,0.996
35,0.995,0.997
36,0.995,0.997
37,0.995,0.997
38,0.995,0.997
39,0.995,0.997
40,0.995,0.997
41,0.995,0.997
42,0.995,0.997
43,0.995,0.997
44,0.995,0.997
45,0.995,0.997
46,0.995,0.997
47,0.995,0.997
48,0.995,0.997
49,0.995,0.997
50,0.995,0.997
55,0.995,0.997
60,0.995,0.998
65,0.995,0.998
70,0.995,0.998
75,0.995,0.998
80,0.995,0.998
85,0.995,0.998
90,0.995,0.998
95,0.995,0.998
100,0.995,0.998
